archivo,clase,diametro_pulg,carga_hp,muestras,duracion_s,rpm_medido,rpm_catalogo,tiene_FE,rms
97.mat,Normal,0.0,0,243938,20.33,1796.0,1797,True,0.0738
98.mat,Normal,0.0,1,483903,40.33,,1772,True,0.0664
99.mat,Normal,0.0,2,485063,40.42,,1750,True,0.0643
100.mat,Normal,0.0,3,485643,40.47,1725.0,1730,True,0.0659
105.mat,IR,0.007,0,121265,10.11,1797.0,1797,True,0.2915
106.mat,IR,0.007,1,121991,10.17,1772.0,1772,True,0.2929
107.mat,IR,0.007,2,122136,10.18,1748.0,1750,True,0.2995
108.mat,IR,0.007,3,122917,10.24,1721.0,1730,True,0.3136
169.mat,IR,0.014,0,121846,10.15,1796.0,1797,True,0.1978
170.mat,IR,0.014,1,121846,10.15,1774.0,1772,True,0.1655
171.mat,IR,0.014,2,121846,10.15,1752.0,1750,True,0.1631
172.mat,IR,0.014,3,121701,10.14,1728.0,1730,True,0.1808
209.mat,IR,0.021,0,122136,10.18,1797.0,1797,True,0.5254
210.mat,IR,0.021,1,121556,10.13,1774.0,1772,True,0.4418
211.mat,IR,0.021,2,121846,10.15,1752.0,1750,True,0.4889
212.mat,IR,0.021,3,121991,10.17,1728.0,1730,True,0.4487
118.mat,B,0.007,0,122571,10.21,1796.0,1797,True,0.1392
119.mat,B,0.007,1,121410,10.12,1772.0,1772,True,0.1391
120.mat,B,0.007,2,121556,10.13,1748.0,1750,True,0.1473
121.mat,B,0.007,3,121556,10.13,1722.0,1730,True,0.1536
185.mat,B,0.014,0,121846,10.15,1796.0,1797,True,0.1527
186.mat,B,0.014,1,122136,10.18,1772.0,1772,True,0.1409
187.mat,B,0.014,2,121991,10.17,1749.0,1750,True,0.1435
188.mat,B,0.014,3,122136,10.18,1724.0,1730,True,0.1337
222.mat,B,0.021,0,121991,10.17,1796.0,1797,True,0.1356
223.mat,B,0.021,1,121701,10.14,1774.0,1772,True,0.1291
224.mat,B,0.021,2,122136,10.18,1754.0,1750,True,0.1073
225.mat,B,0.021,3,122136,10.18,1729.0,1730,True,0.118
130.mat,OR,0.007,0,121991,10.17,1796.0,1797,True,0.6695
131.mat,OR,0.007,1,122426,10.2,1773.0,1772,True,0.5919
132.mat,OR,0.007,2,121410,10.12,1750.0,1750,True,0.5702
133.mat,OR,0.007,3,122571,10.21,1725.0,1730,True,0.5804
197.mat,OR,0.014,0,121846,10.15,1796.0,1797,True,0.1007
198.mat,OR,0.014,1,122136,10.18,1772.0,1772,True,0.0936
199.mat,OR,0.014,2,121846,10.15,1749.0,1750,True,0.0968
200.mat,OR,0.014,3,121991,10.17,1723.0,1730,True,0.0947
234.mat,OR,0.021,0,122426,10.2,1796.0,1797,True,0.5832
235.mat,OR,0.021,1,121991,10.17,1771.0,1772,True,0.5614
236.mat,OR,0.021,2,122281,10.19,1748.0,1750,True,0.57
237.mat,OR,0.021,3,121991,10.17,1721.0,1730,True,0.559
