representacion,clasificador,carga_train,carga_test,distancia_carga,fold,clase,diametro_pulg,n,recall
estadisticos,SVM-RBF,0,0,0,0,B,0.007,24,1.0
estadisticos,SVM-RBF,0,0,0,0,B,0.014,24,1.0
estadisticos,SVM-RBF,0,0,0,0,B,0.021,24,1.0
estadisticos,SVM-RBF,0,0,0,0,IR,0.007,24,1.0
estadisticos,SVM-RBF,0,0,0,0,IR,0.014,24,1.0
estadisticos,SVM-RBF,0,0,0,0,IR,0.021,24,1.0
estadisticos,SVM-RBF,0,0,0,0,Normal,0.0,48,1.0
estadisticos,SVM-RBF,0,0,0,0,OR,0.007,24,1.0
estadisticos,SVM-RBF,0,0,0,0,OR,0.014,24,0.5416666666666666
estadisticos,SVM-RBF,0,0,0,0,OR,0.021,24,1.0
estadisticos,SVM-RBF,0,0,0,1,B,0.007,23,1.0
estadisticos,SVM-RBF,0,0,0,1,B,0.014,22,0.9545454545454546
estadisticos,SVM-RBF,0,0,0,1,B,0.021,23,1.0
estadisticos,SVM-RBF,0,0,0,1,IR,0.007,22,1.0
estadisticos,SVM-RBF,0,0,0,1,IR,0.014,22,1.0
estadisticos,SVM-RBF,0,0,0,1,IR,0.021,23,1.0
estadisticos,SVM-RBF,0,0,0,1,Normal,0.0,46,1.0
estadisticos,SVM-RBF,0,0,0,1,OR,0.007,23,1.0
estadisticos,SVM-RBF,0,0,0,1,OR,0.014,22,0.3636363636363636
estadisticos,SVM-RBF,0,0,0,1,OR,0.021,23,1.0
estadisticos,SVM-RBF,0,0,0,2,B,0.007,22,1.0
estadisticos,SVM-RBF,0,0,0,2,B,0.014,23,0.7391304347826086
estadisticos,SVM-RBF,0,0,0,2,B,0.021,22,0.8636363636363636
estadisticos,SVM-RBF,0,0,0,2,IR,0.007,23,1.0
estadisticos,SVM-RBF,0,0,0,2,IR,0.014,23,1.0
estadisticos,SVM-RBF,0,0,0,2,IR,0.021,22,1.0
estadisticos,SVM-RBF,0,0,0,2,Normal,0.0,47,1.0
estadisticos,SVM-RBF,0,0,0,2,OR,0.007,22,1.0
