Representation,Classifier,F1 in-domain,F1 out-of-domain
Statistical,MLP,0.988 $\pm$ 0.015,0.799 $\pm$ 0.229
Statistical,RandomForest,0.992 $\pm$ 0.008,0.869 $\pm$ 0.103
Statistical,SVM-RBF,0.985 $\pm$ 0.020,0.836 $\pm$ 0.174
FFT,MLP,1.000 $\pm$ 0.000,0.971 $\pm$ 0.043
FFT,RandomForest,1.000 $\pm$ 0.000,0.956 $\pm$ 0.054
FFT,SVM-RBF,0.999 $\pm$ 0.003,0.774 $\pm$ 0.061
Wavelet db4,MLP,0.969 $\pm$ 0.017,0.830 $\pm$ 0.087
Wavelet db4,RandomForest,0.982 $\pm$ 0.011,0.892 $\pm$ 0.045
Wavelet db4,SVM-RBF,0.929 $\pm$ 0.018,0.850 $\pm$ 0.074
STFT spectrogram,MLP,0.998 $\pm$ 0.003,0.916 $\pm$ 0.056
STFT spectrogram,RandomForest,0.980 $\pm$ 0.011,0.898 $\pm$ 0.069
STFT spectrogram,SVM-RBF,0.999 $\pm$ 0.001,0.942 $\pm$ 0.054
"CNN 2D (reference, excluded from the comparison)",CNN2D,0.971 $\pm$ 0.116,0.957 $\pm$ 0.119
