archivo,clase,diametro,carga_hp,f_eje_Hz,BPFO,BPFI,BSF,FTF,2xBSF,2xBSF_FTF
97.mat,Normal,0.0,0,29.95,25.27,39.34,13.75,33.66,31.62,27.56
98.mat,Normal,0.0,1,29.53,33.24,33.53,36.16,38.73,25.68,44.62
99.mat,Normal,0.0,2,29.17,24.81,41.89,31.6,59.61,22.15,22.49
100.mat,Normal,0.0,3,28.83,48.12,33.37,25.82,74.78,50.04,111.97
105.mat,IR,0.007,0,29.95,301.55,1234.38,148.61,70.45,65.87,67.65
106.mat,IR,0.007,1,29.53,316.43,1316.9,139.51,62.34,46.31,144.95
107.mat,IR,0.007,2,29.17,307.69,1265.28,168.94,48.93,52.45,243.21
108.mat,IR,0.007,3,28.83,399.72,924.6,167.79,70.37,36.92,166.31
169.mat,IR,0.014,0,29.95,230.66,633.07,94.73,200.0,118.48,233.54
170.mat,IR,0.014,1,29.53,284.09,678.19,120.35,206.86,128.61,267.95
171.mat,IR,0.014,2,29.17,306.97,720.48,142.97,259.76,167.03,316.14
172.mat,IR,0.014,3,28.83,340.8,907.37,249.47,289.92,207.49,342.87
209.mat,IR,0.021,0,29.95,1493.92,4700.24,760.0,439.17,520.08,823.15
210.mat,IR,0.021,1,29.53,1239.17,3826.69,325.06,373.48,367.09,528.74
211.mat,IR,0.021,2,29.17,1325.2,4387.26,340.28,568.86,367.0,738.29
212.mat,IR,0.021,3,28.83,1229.01,3357.76,355.12,562.92,344.78,563.75
118.mat,B,0.007,0,29.95,687.24,434.42,232.01,424.4,177.78,168.86
119.mat,B,0.007,1,29.53,579.28,504.96,230.04,360.57,246.88,220.89
120.mat,B,0.007,2,29.17,646.97,656.93,269.42,676.59,148.96,370.57
121.mat,B,0.007,3,28.83,507.88,474.96,231.52,459.24,129.32,144.44
185.mat,B,0.014,0,29.95,200.68,156.21,247.43,718.23,136.39,178.45
186.mat,B,0.014,1,29.53,247.3,204.76,253.08,1164.17,143.84,224.11
187.mat,B,0.014,2,29.17,167.93,146.82,202.41,1432.48,118.87,186.39
188.mat,B,0.014,3,28.83,226.9,178.44,219.97,1615.84,132.7,253.03
222.mat,B,0.021,0,29.95,230.55,400.06,173.03,175.75,85.67,109.08
223.mat,B,0.021,1,29.53,283.97,384.31,120.86,179.93,63.57,111.44
224.mat,B,0.021,2,29.17,223.85,302.19,52.41,120.27,53.37,91.47
225.mat,B,0.021,3,28.83,237.22,328.03,98.25,175.72,52.44,95.41
130.mat,OR,0.007,0,29.95,4550.29,797.66,101.88,396.08,66.82,251.26
131.mat,OR,0.007,1,29.53,3927.39,702.58,111.38,356.6,98.42,293.64
132.mat,OR,0.007,2,29.17,3642.17,806.14,104.24,389.73,57.63,252.43
133.mat,OR,0.007,3,28.83,3900.94,963.99,99.92,288.21,119.68,270.17
197.mat,OR,0.014,0,29.95,124.83,143.15,89.24,84.29,75.5,73.26
198.mat,OR,0.014,1,29.53,128.77,172.25,81.78,87.87,33.32,70.74
199.mat,OR,0.014,2,29.17,179.63,156.32,64.29,150.25,42.21,52.56
200.mat,OR,0.014,3,28.83,86.32,93.99,66.62,83.06,44.17,42.13
234.mat,OR,0.021,0,29.95,1620.48,234.01,93.79,353.36,90.95,277.88
235.mat,OR,0.021,1,29.53,2103.39,313.84,112.2,414.18,107.77,329.9
236.mat,OR,0.021,2,29.17,1976.3,300.36,99.63,398.41,158.36,291.18
237.mat,OR,0.021,3,28.83,2186.1,114.67,122.22,499.59,152.04,116.92
